# The data here are fictitious.
# To open this file with statist, use the command 
# ../src/statist city.csv --labels city.labels
age sex kids happy trust god degree income
52 1 3 0 1 0 4 3844
112 1 3 1 2 1 3 20667
18 0 0 1 2 1 4 28224
69 0 2 0 2 1 4 4900
56 1 3 0 3 1 4 9216
93 1 2 0 2 1 3 6912
22 1 3 0 2 1 2 2178
59 0 1 1 0 1 4 30276
74 0 3 2 2 1 3 675
85 0 3 2 3 1 4 2116
31 0 2 1 2 1 2 17672
58 0 1 2 3 1 2 14112
45 0 2 2 0 1 4 36125
74 0 1 0 3 1 3 1587
51 1 3 0 3 1 4 1156
85 1 4 0 3 1 4 10404
33 1 2 0 2 1 2 2
65 1 3 2 2 1 3 M
114 1 3 1 0 1 3 23232
59 1 3 2 2 1 4 10404
95 1 1 2 2 1 4 144
26 0 1 0 1 1 3 432
19 1 1 0 3 1 4 12996
30 0 2 0 3 1 3 2187
56 0 2 1 3 0 4 23104
45 1 0 2 3 1 2 M
23 1 1 0 1 1 4 36
26 0 0 2 3 0 4 3136
38 1 2 0 3 1 4 9604
52 0 2 2 3 1 2 1458
22 1 0 2 3 1 4 400
76 0 0 0 2 1 0 0
113 1 2 2 2 1 4 36980
53 0 2 2 2 1 3 27
78 0 2 2 2 1 4 11664
61 1 4 0 2 1 2 7220
100 0 1 2 3 1 1 5780
39 1 2 2 0 0 4 5184
43 1 3 2 3 1 4 15376
53 1 4 2 3 1 2 11552
28 1 2 2 2 1 2 8450
65 1 2 1 3 1 4 24964
75 1 1 0 1 1 3 980
18 0 0 0 1 1 4 13924
22 1 0 2 2 1 4 16384
86 1 3 2 3 1 4 30976
51 0 4 0 3 1 4 6400
106 0 3 1 3 1 4 23805
43 1 2 0 3 1 4 8464
65 1 2 1 1 1 4 24964
40 1 2 1 1 1 2 16928
21 0 0 0 3 1 4 3844
42 0 2 2 1 1 4 43245
54 0 4 2 1 1 3 10800
22 1 1 2 1 1 4 6400
87 1 2 2 2 1 4 39204
27 1 0 2 3 1 4 5184
59 1 2 0 1 1 3 5043
21 0 1 1 1 1 3 20667
45 0 4 2 2 1 2 98
22 0 0 2 1 1 3 28880
45 0 4 0 2 1 3 10800
39 0 4 0 3 1 3 10443
75 1 3 0 3 1 2 7200
98 0 1 0 3 1 4 100
39 1 3 2 1 1 3 4563
18 0 2 1 1 0 4 16384
62 0 2 2 2 1 4 4900
34 0 2 0 3 1 3 2883
98 1 3 0 3 1 4 11236
26 0 0 2 2 1 3 46080
33 1 2 1 2 1 4 20736
83 1 2 2 1 0 4 16
41 1 3 2 2 1 2 19845
46 0 3 1 M 1 4 16384
62 0 2 2 2 1 3 13068
33 1 3 1 1 1 4 22500
115 0 1 2 3 1 4 64
65 0 2 2 3 1 1 9801
41 0 2 0 2 1 3 2187
73 1 3 1 2 1 4 25600
57 1 3 2 2 0 3 24300
69 0 2 2 2 1 0 0
76 0 4 2 2 1 4 5776
92 0 2 2 2 1 4 23104
78 0 2 0 M 1 4 7056
64 0 2 1 1 1 3 17328
34 1 3 2 2 1 4 11236
18 0 2 2 3 1 3 14283
91 1 1 0 1 1 4 64
80 1 2 1 1 0 2 18818
51 0 2 2 1 1 4 7396
54 0 3 0 1 1 2 6272
60 1 1 2 3 1 3 10443
74 0 2 2 1 1 4 17424
76 1 1 2 3 1 3 22188
52 1 2 1 2 1 3 18723
52 1 4 2 2 1 1 225
60 1 4 2 2 1 4 6400
72 1 3 2 2 1 4 6724
54 0 0 0 1 1 4 2704
48 0 2 1 1 1 3 19683
75 1 2 2 2 1 1 3025
43 0 2 2 3 1 1 4356
55 0 3 0 1 1 2 128
30 0 3 0 1 1 4 5184
74 0 3 2 1 1 4 12100
26 1 0 1 1 1 3 21675
44 0 2 2 1 1 3 19683
52 1 3 2 3 1 3 9747
55 1 4 2 1 1 4 26244
100 0 3 1 3 1 3 18723
100 0 0 0 3 1 2 2178
45 1 2 2 1 1 3 108
42 1 3 1 3 1 4 22500
24 0 1 2 1 1 3 6627
51 0 2 2 M 1 M 28125
